  Plumbing                                                    ,61.5,           S,           S,           S,           S,.,.,23.0,           S,           S,.,           S,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,           S,           S,.,.,           S,.,.,10.8,           S,           S,.,           S,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.
  Heating                                                     ,84.9,47.4,           S,.,           S,.,           S,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,           S,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,           S,.,.,.,16.0,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,           S,           S,           S,           S,.,           S,.,           S,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.
  Electric                                                    ,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
  Wiring                                                      ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
  Upkeep                                                      ,           S,           S,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,           S,.,           S,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,           S,.,.,.,.,.,           S,.,.,.,           S,.,.,           S,           S,           S,.,.,.,.,.,.,.,.,.,.,.
Moderately inadequate2                               ,224.5,141.5,52.5,.,           S,.,.,132.5,101.2,           S,           S,           S,           S,           S,53.2,35.9,           S,.,           S,.,.,52.3,28.6,19.9,.,           S,.,.,53.0,40.2,           S,           S,           S,.,           S,49.0,27.4,15.1,           S,           S,           S,74.2,31.9,32.6,           S,           S,           S,           S,44.8,26.4,17.3,.,.,           S,.,35.3,18.4,14.4,           S,           S,.,.,28.9,14.5,           S,.,           S,.,           S,36.2,22.2,           S,           S,           S,.,           S,26.9,18.7,           S,           S,           S,.,.,13.3,9.1,           S,           S,.,.,.,23.6,11.3,9.9,.,.,           S,           S,19.5,13.1,           S,.,           S,           S,.
  Upkeep                                                      ,81.5,           S,           S,.,           S,.,.,41.3,30.4,           S,           S,           S,.,           S,31.6,           S,           S,.,           S,.,.,25.9,19.6,           S,.,           S,.,.,34.0,25.4,           S,           S,.,.,           S,29.0,           S,           S,           S,           S,.,33.8,12.7,19.7,           S,           S,.,.,14.9,           S,           S,.,.,.,.,19.3,           S,           S,.,           S,.,.,           S,           S,           S,.,           S,.,           S,14.2,           S,           S,.,           S,.,           S,10.0,           S,           S,           S,.,.,.,           S,           S,           S,           S,.,.,.,13.0,           S,           S,.,.,           S,           S,           S,           S,           S,.,.,.,.
  Other                                                       ,153.4,96.8,           S,.,           S,.,.,99.2,75.1,           S,           S,           S,           S,.,25.4,           S,           S,.,.,.,.,28.0,10.6,           S,.,           S,.,.,21.2,17.0,           S,.,           S,.,.,           S,           S,           S,.,.,           S,41.1,20.1,12.9,           S,           S,           S,           S,32.6,18.2,13.3,.,.,           S,.,17.8,           S,           S,           S,           S,.,.,19.5,           S,           S,.,           S,.,           S,23.6,14.8,           S,           S,           S,.,           S,16.9,           S,           S,           S,           S,.,.,9.9,7.4,           S,.,.,.,.,11.4,           S,           S,.,.,.,           S,14.7,9.9,           S,.,           S,           S,.
Adequate                                                      ,"3,344.5","2,065.7",882.9,           S,315.4,           S,48.1,"2,129.4","1,523.5",204.9,36.3,320.1,           S,32.7,"1,162.8",687.0,348.4,25.2,80.7,           S,           S,"1,011.2",652.6,270.4,           S,68.1,           S,           S,828.8,494.3,246.8,           S,60.3,           S,           S,659.1,361.2,255.4,           S,32.7,           S,754.9,383.5,257.1,           S,80.1,           S,16.9,822.7,582.3,219.1,           S,13.1,.,           S,751.5,329.2,360.9,           S,38.1,           S,           S,712.4,522.4,105.0,           S,63.4,           S,           S,723.1,418.4,89.1,15.8,177.3,           S,13.9,573.3,440.7,72.7,14.1,34.2,           S,           S,459.6,360.9,58.2,           S,22.3,           S,           S,465.3,231.9,197.3,           S,21.9,           S,           S,568.1,401.5,74.5,10.3,65.5,           S,11.2
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Selected Deficiencies2                               ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Signs of mice or rats inside home in last 12 months           ,513.8,252.9,202.3,           S,48.1,.,           S,159.5,128.9,           S,           S,           S,.,           S,157.9,77.4,71.3,           S,           S,.,           S,51.5,42.0,           S,.,           S,.,.,72.6,47.6,18.2,           S,           S,.,           S,161.2,66.3,78.2,           S,           S,           S,147.3,65.3,67.9,           S,10.2,.,           S,44.9,23.3,19.5,.,.,           S,           S,30.1,18.0,           S,.,           S,.,.,124.5,71.2,29.6,           S,           S,           S,           S,58.6,38.2,           S,           S,9.7,           S,           S,24.4,18.2,           S,           S,           S,.,.,27.5,22.1,           S,           S,           S,.,           S,34.0,           S,24.4,.,.,           S,           S,26.1,20.9,           S,.,           S,.,.
Signs of cockroaches in last 12 months                        ,665.8,353.6,241.4,           S,46.9,.,           S,437.2,337.8,30.0,           S,55.0,           S,           S,117.3,54.5,45.9,           S,           S,.,           S,258.0,158.7,55.4,           S,35.6,           S,           S,363.6,230.9,92.4,           S,21.8,           S,           S,87.8,30.1,47.7,           S,           S,.,142.4,69.6,55.7,           S,10.9,           S,           S,251.8,168.6,76.2,           S,           S,.,           S,270.4,130.4,116.0,           S,21.9,.,           S,41.9,20.4,           S,           S,           S,.,           S,53.0,26.1,11.5,           S,12.8,           S,           S,134.5,108.2,17.9,           S,           S,.,.,71.0,54.8,11.5,.,           S,.,           S,17.0,           S,12.9,.,           S,           S,           S,9.7,           S,           S,.,           S,.,.
Holes in floors                                               ,61.4,           S,           S,.,           S,.,.,36.9,28.2,.,           S,           S,.,           S,           S,           S,           S,.,.,.,.,29.2,21.3,           S,.,           S,.,.,16.2,11.8,           S,           S,.,.,.,           S,           S,           S,.,           S,.,17.9,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,18.8,           S,           S,.,           S,.,.,           S,           S,           S,.,           S,.,           S,10.9,           S,           S,.,           S,.,           S,11.0,           S,           S,.,.,.,.,           S,           S,           S,           S,           S,.,           S,           S,           S,           S,.,.,           S,.,           S,           S,           S,.,.,.,.
Open cracks or holes (interior)                               ,271.5,137.3,107.7,           S,           S,.,           S,107.8,81.6,           S,           S,           S,.,           S,96.2,48.7,37.8,           S,           S,.,           S,75.5,52.9,18.3,           S,           S,.,.,89.5,59.5,22.2,           S,           S,           S,           S,59.3,28.9,26.7,.,           S,.,67.0,28.2,32.9,           S,           S,.,           S,48.9,29.3,16.7,           S,           S,.,           S,42.6,16.9,22.4,           S,           S,.,.,25.3,           S,           S,           S,           S,.,           S,48.8,33.9,10.2,.,           S,           S,           S,40.3,33.4,           S,           S,.,           S,.,17.9,11.8,           S,.,           S,.,           S,30.8,10.6,16.9,.,           S,           S,           S,19.1,13.5,           S,           S,.,.,           S
Broken plaster or peeling paint (interior)                    ,105.6,54.4,           S,           S,           S,.,.,59.6,40.9,           S,           S,           S,.,.,34.5,           S,           S,.,           S,.,           S,25.8,17.5,           S,.,           S,.,.,40.6,32.4,           S,           S,.,.,           S,20.9,           S,           S,.,           S,.,30.7,17.3,           S,.,           S,.,.,20.6,14.6,           S,.,.,.,           S,18.3,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,18.1,14.3,           S,.,           S,.,.,16.3,14.0,           S,           S,.,.,.,           S,           S,           S,.,           S,.,.,14.1,           S,           S,.,.,.,.,9.5,           S,           S,.,.,.,           S
No electrical wiring                                          ,           S,           S,           S,.,.,.,.,           S,.,.,.,           S,.,.,.,.,.,.,.,.,.,           S,           S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Exposed wiring                                                ,255.5,131.2,82.7,           S,36.9,.,.,54.3,49.0,           S,.,           S,.,.,32.3,           S,           S,.,           S,           S,.,53.9,37.0,           S,.,           S,.,           S,33.9,19.5,           S,.,           S,.,           S,           S,           S,           S,.,           S,           S,28.1,           S,           S,.,           S,.,.,31.2,18.8,11.3,.,.,.,           S,20.9,12.6,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,19.7,12.6,           S,.,           S,.,.,29.5,21.1,           S,           S,           S,.,.,20.5,11.9,           S,           S,           S,.,           S,10.9,           S,           S,.,           S,.,           S,16.7,13.5,.,           S,           S,.,.
Rooms without electric outlets                                ,97.5,53.2,           S,           S,           S,.,           S,58.2,44.0,           S,.,           S,.,.,17.7,           S,           S,.,           S,.,.,29.8,20.4,           S,.,           S,.,.,22.0,13.7,           S,.,           S,.,.,           S,           S,           S,.,           S,.,31.9,           S,           S,.,           S,.,           S,30.6,19.2,           S,.,.,.,           S,20.7,           S,15.2,           S,           S,.,.,14.0,           S,           S,.,           S,.,.,12.1,           S,.,.,           S,           S,           S,24.1,16.9,           S,           S,.,.,           S,13.5,7.7,           S,.,           S,.,           S,9.1,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,.
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
Flush Toilet Breakdowns                                       ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
                                                              ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
        With one or more flush toilets                        ,"3,715.3","2,293.5",985.7,           S,351.5,           S,52.1,"2,300.4","1,657.2",212.2,42.2,340.0,           S,34.8,"1,237.3",736.6,371.3,25.2,82.7,           S,           S,"1,076.4",688.8,294.1,           S,71.9,           S,           S,898.1,546.9,258.7,14.6,61.4,           S,15.6,716.7,390.7,277.0,           S,36.4,           S,852.5,418.4,309.2,16.6,86.4,           S,17.2,874.1,613.0,238.7,           S,13.1,           S,           S,795.3,351.2,380.3,           S,39.8,           S,           S,750.0,541.2,114.8,           S,68.7,           S,16.0,770.7,448.3,95.2,17.3,184.7,           S,16.7,606.7,465.9,77.4,16.4,35.5,           S,           S,478.1,374.0,62.4,           S,22.8,           S,           S,494.0,244.5,210.8,           S,21.9,           S,11.7,595.8,421.0,78.6,10.3,68.9,           S,11.2
With at least one toilet working at all times in last 3 months,"3,634.8","2,248.1",960.8,           S,345.2,           S,52.1,"2,225.4","1,610.4",204.8,42.2,325.9,           S,30.3,"1,198.2",719.7,354.0,25.2,79.8,           S,           S,"1,043.3",665.6,287.4,           S,68.7,           S,           S,864.6,523.3,251.9,14.6,59.5,           S,14.4,697.9,383.4,266.8,           S,35.1,           S,826.9,414.8,289.1,16.2,86.4,           S,17.2,851.5,600.1,229.1,           S,13.1,           S,           S,770.3,342.8,364.8,           S,38.7,           S,           S,733.5,528.7,112.9,           S,67.8,           S,14.7,753.1,438.6,92.9,16.7,181.2,           S,15.1,590.2,456.7,72.5,14.1,35.5,           S,           S,470.2,370.2,58.8,           S,22.3,           S,           S,478.1,239.7,200.3,           S,21.9,           S,11.7,583.3,414.4,75.4,10.3,66.2,           S,11.2
None working some time in last 3 months                       ,80.5,45.4,           S,           S,           S,.,.,75.1,46.8,           S,.,           S,           S,           S,39.1,           S,           S,.,           S,.,           S,33.1,23.2,           S,.,           S,.,.,33.4,23.6,           S,.,           S,.,           S,           S,           S,           S,.,           S,.,25.6,           S,           S,           S,.,           S,.,22.6,13.0,           S,.,.,.,.,24.9,           S,15.5,.,           S,.,.,16.4,           S,           S,.,           S,.,           S,17.7,           S,           S,           S,           S,.,           S,16.5,           S,           S,           S,.,.,.,           S,           S,           S,.,           S,.,.,15.9,           S,10.5,.,.,           S,.,12.5,           S,           S,.,           S,.,.
  No breakdowns lasting 6 hours or more                       ,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,           S,.,.,           S,.,           S,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,.,           S,           S,           S,.,           S,.,.,           S,           S,.,.,           S,.,.,           S,           S,           S,           S,.,.,.,           S,.,           S,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,.,.,           S,.,.
  Number of breakdowns that lasted 6 hours or more:           ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            
    1                                                         ,46.0,           S,           S,           S,           S,.,.,41.4,24.2,           S,.,           S,.,           S,           S,           S,           S,.,           S,.,           S,           S,           S,.,.,           S,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,           S,.,           S,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,.,.,.,13.7,           S,10.2,.,.,.,.,           S,           S,           S,.,.,.,.,           S,           S,           S,.,           S,.,           S,           S,           S,           S,           S,.,.,.,           S,           S,.,.,           S,.,.,7.6,           S,           S,.,.,           S,.,           S,           S,           S,.,           S,.,.
